Player,Salary,Opp,GP,PAYDS,PATD,RUYDS,RUTD,REC,TAR,REYDS,RETD,FPTS
Aaron Rodgers,$9.2K,vs. DET,8,1937,19,213,0,0,0,0,0,173.78
Michael Vick,$5.8K,vs. CLE,5,371,2,99,0,0,0,0,0,31.74
Tom Brady,$9.1K,@ NYG,8,2709,22,19,2,0,0,0,0,206.26
Drew Brees,$8.6K,@ WAS,8,2769,18,-1,1,0,0,0,0,178.66
Jay Cutler,$7.0K,@ STL,7,1787,10,91,1,0,0,0,0,119.58
Alex Smith,$6.0K,@ DEN,8,1969,9,202,1,0,0,0,0,139.96
Joe Flacco,$7.5K,vs. JAC,8,2176,10,6,3,0,0,0,0,137.64
Eli Manning,$7.4K,vs. NEP,9,2339,19,47,0,0,0,0,0,166.26
Matthew Stafford,$6.9K,@ GBP,8,2083,13,67,0,1,1,-6,0,128.92
Ben Roethlisberger,$NaNM,N/A,5,1508,7,-1,0,0,0,0,0,90.22
Sam Bradford,$7.3K,vs. MIA,8,2061,10,31,0,0,0,0,0,113.54
Tony Romo,$NaNM,N/A,2,551,3,11,0,0,0,0,0,31.14
Matt Cassel,$6.3K,@ TBB,3,623,4,64,0,0,0,0,0,43.32
Ryan Fitzpatrick,$7.2K,vs. BUF,8,1790,13,124,1,0,0,0,0,133
Luke McCown,$5.0K,@ WAS,2,335,0,0,0,0,0,0,0,12.4
Cam Newton,$8.2K,@ TEN,8,1820,14,343,5,0,0,0,0,180.1
Andy Dalton,$8.1K,vs. HOU,8,2226,18,62,2,0,0,0,0,173.24
Shaun Hill,$5.6K,@ OAK,1,15,0,-1,0,0,0,0,0,0.5
Chase Daniel,$5.0K,@ DEN,1,4,0,0,0,0,0,0,0,0.16
Tyrod Taylor,$7.2K,@ NYJ,6,1278,10,231,2,1,1,4,0,123.12
Peyton Manning,$7.7K,vs. KCC,8,2145,9,-4,0,0,0,0,0,108.4
Carson Palmer,$8.0K,@ SEA,8,2386,20,18,0,0,0,0,0,171.24
Josh McCown,$6.3K,@ PIT,7,1897,11,86,1,0,0,0,0,122.48
Dan Orlovsky,$5.0K,@ GBP,2,201,1,0,0,0,0,0,0,11.04
Joe Webb,$4.8K,@ TEN,1,0,0,-1,0,0,0,0,0,-0.1
Ryan Tannehill,$7.1K,@ PHI,8,2237,13,46,0,1,1,9,0,136.48
Brandon Weeden,$5.5K,@ TBB,4,739,2,30,0,0,0,0,0,38.56
Russell Wilson,$7.6K,vs. ARI,8,1878,9,303,0,0,0,0,0,131.42
Nick Foles,$6.4K,vs. CHI,8,1478,7,20,1,0,0,0,0,88.12
Kirk Cousins,$6.5K,vs. NOS,8,1954,10,17,2,0,0,0,0,128.86
Brian Hoyer,$6.8K,@ CIN,6,1581,13,18,0,0,0,0,0,112.04
Geno Smith,$5.8K,vs. BUF,1,265,2,34,0,0,0,0,0,21
AJ McCarron,$5.1K,vs. HOU,1,0,0,-2,0,0,0,0,0,-0.2
Johnny Manziel,$6.1K,@ PIT,5,561,4,73,0,0,0,0,0,40.74
Landry Jones,$6.2K,vs. CLE,3,456,3,-3,0,0,0,0,0,25.94
Jimmy Clausen,$5.7K,@ STL,2,184,0,8,0,0,0,0,0,7.16
Teddy Bridgewater,$6.7K,@ OAK,8,1670,6,93,2,0,0,0,0,104.1
E.J. Manuel,$5.7K,@ NYJ,3,561,3,58,1,0,0,0,0,41.24
Jimmy Garoppolo,$5.0K,@ NYG,3,0,0,-5,0,0,0,0,0,-0.5
Blake Bortles,$7.8K,@ BAL,8,2193,17,178,0,0,0,0,0,161.52
Zach Mettenberger,$6.0K,vs. CAR,4,421,1,-1,0,0,0,0,0,15.74
Derek Carr,$7.5K,vs. MIN,8,2094,19,33,0,0,0,0,0,157.06
Matthew McGloin,$NaNM,N/A,1,142,2,0,0,0,0,0,0,10.68
Drew Stanton,$5.2K,@ SEA,2,10,0,-6,0,0,0,0,0,-0.2
B.J. Daniels,$NaNM,N/A,1,0,0,0,0,1,1,12,0,1.7
Matthew Moore,$5.4K,@ PHI,1,14,0,-2,0,0,0,0,0,0.36
Tyler Murphy,$NaNM,N/A,1,0,0,0,0,1,1,16,0,2.1
Marcus Mariota,$7.3K,vs. CAR,6,1610,13,77,0,0,0,0,0,113.1
Jameis Winston,$6.8K,vs. DAL,8,1897,10,115,3,0,0,0,0,138.38