Player,Position,Date,Salary,Projected Points,Pt/$/K
Josh McCown,QB,11/30 vs. BAL,$5K,19.32,3.86
Jay Cutler,QB,11/26 @ GBP,$5.1K,17.87,3.5
Brian Hoyer,QB,11/29 vs. NOS,$5K,17.34,3.47
Ryan Fitzpatrick,QB,11/29 vs. MIA,$5K,16.91,3.38
Matthew Stafford,QB,11/26 vs. PHI,$5.8K,19.4,3.34
Tyrod Taylor,QB,11/29 @ KCC,$5.1K,16.94,3.32
Blake Bortles,QB,11/29 vs. SDC,$5.9K,19.44,3.29
Cam Newton,QB,11/26 @ DAL,$7.1K,23.27,3.28
Marcus Mariota,QB,11/29 vs. OAK,$5.5K,18.01,3.27
Teddy Bridgewater,QB,11/29 @ ATL,$5K,15.99,3.2
Aaron Rodgers,QB,11/26 vs. CHI,$7.4K,23.25,3.14
Russell Wilson,QB,11/29 vs. PIT,$6K,18.7,3.12
Mark Sanchez,QB,11/26 @ DET,$5.2K,16.12,3.1
Ryan Tannehill,QB,11/29 @ NYJ,$5.2K,15.76,3.03
Derek Carr,QB,11/29 @ TEN,$6.3K,19.08,3.03
Alex Smith,QB,11/29 vs. BUF,$5K,14.97,2.99
Andy Dalton,QB,11/29 vs. STL,$6.1K,18.25,2.99
Carson Palmer,QB,11/29 @ SFO,$7.1K,21.16,2.98
Jameis Winston,QB,11/29 @ IND,$5.5K,16.17,2.94
Kirk Cousins,QB,11/29 vs. NYG,$5.4K,15.68,2.9
Ben Roethlisberger,QB,11/29 @ SEA,$6.7K,19.36,2.89
Tony Romo,QB,11/26 vs. CAR,$5.8K,16.47,2.84
Eli Manning,QB,11/29 @ WAS,$6.5K,18.2,2.8
Brock Osweiler,QB,11/29 vs. NEP,$5.3K,14.84,2.8
Philip Rivers,QB,11/29 @ JAC,$6.7K,18.54,2.77
Tom Brady,QB,11/29 @ DEN,$8K,21.33,2.67
Blaine Gabbert,QB,11/29 vs. ARI,$5K,13.04,2.61
Matt Hasselbeck,QB,11/29 vs. TBB,$5.4K,13.99,2.59
Drew Brees,QB,11/29 @ HOU,$7.3K,18.83,2.58
Matt Ryan,QB,11/29 vs. MIN,$6.9K,17.69,2.56
Case Keenum,QB,11/29 @ CIN,$5K,10.69,2.14
Matt Schaub,QB,11/30 @ CLE,$5.3K,10.1,1.91